Distribuidora,Código,Vendedores,Cumplimiento %,Puntos
DISTRIBUCIONES MUÑOZ VILLAQUIRAN S.A. DISMUVISA,4041788,52,97.12,327100
MARVECOBE,6202665,34,116.35,261850
COMERCIAL H&B CHB S.A.,5522289,49,104.96,241500
CRONOCOSTA S.A.,6555111,28,106.83,226350
BARNUEVO VALAREZO & GCP CIA LTDA,4823843,31,138.27,171400
SURTIANDINOS QUITO,6960172,16,139.34,146500
ABATACORP CIA. LTDA,6916061,25,100.8,146200
EXECOM EXCELENCIA EN COMERCIO DISTRIBUCION E IMPORTACION EXEDIM CIA LTDA,4299910,25,109.42,139350
SURTITODO S.A.,7203159,19,106.26,131150
LAURA NARVAEZ,1388202,18,90,118250
RAMASANDISTRI S.A,5144653,19,187.45,116500
COBERSERVICIOS SOCIEDAD CIVIL,3895502,19,116.61,104550
HIPERSTOCK CIA LTDA,3077312,19,96.1,103900
GRANDA LAICA LUIS SALOMON,5161257,25,94.02,98250
OLMEDO ARIAS LUIS FELIPE,4022043,29,88.13,89950
CAMEL CIA. LTDA.,2119267,22,84.36,89700
SURTIANDINOS IBARRA,6960172,26,89.6,77550
RENSU S.A. ,6960170,8,114.69,68650
PALDONI,7412470,23,80.06,36950
PASQUEL ZAPATA MARIO ALFREDO,6469966,27,57.22,29000
